,molecule_chembl_id,canonical_smiles,pIC50,mol,is_lipinski,RotatableBonds,mw,logp,hbd,hba,TPSA,QED
30,CHEMBL510425,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(OC)c(OC)c1,7.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x1767b28f0>,True,9,420.53100000000023,3.0759200000000018,0,5,76.15,0.623152935863368
31,CHEMBL496993,CCc1ccc(S(=O)(=O)N(CC(=O)N(CC)CC)c2ccc(C)cc2)cc1,7.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x1767b2960>,True,8,388.5330000000001,3.621120000000003,0,3,57.690000000000005,0.6939251043337955
32,CHEMBL524267,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,6.634512015109101,<rdkit.Chem.rdchem.Mol object at 0x1767b29d0>,True,7,374.50600000000014,3.3671400000000027,0,3,57.690000000000005,0.7465630669147013
34,CHEMBL497402,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(Br)cc1,6.847711655616943,<rdkit.Chem.rdchem.Mol object at 0x1767b2ab0>,True,7,439.3750000000001,3.821220000000003,0,3,57.690000000000005,0.6593034827609985
38,CHEMBL467577,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccccc1C,7.236572006437063,<rdkit.Chem.rdchem.Mol object at 0x1767b2a40>,True,7,374.50600000000014,3.3671400000000027,0,3,57.690000000000005,0.7465630669147013
41,CHEMBL513527,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1cccc(C)c1,7.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x1767b2b90>,True,7,374.50600000000014,3.3671400000000027,0,3,57.690000000000005,0.7465630669147013
42,CHEMBL497565,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1cccc(Cl)c1,6.856985199745905,<rdkit.Chem.rdchem.Mol object at 0x1767b2b20>,True,7,394.9240000000001,3.712120000000003,0,3,57.690000000000005,0.7187685726224233
91,CHEMBL489893,CNC1CCCC1CN[C@H](C(=O)N1CCc2cc(OC)c(OC)cc2C1)C(C)(C)C,7.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x1767b38b0>,True,7,417.5940000000003,2.980900000000001,2,5,62.83,0.7141901247562892
169,CHEMBL1080723,CCn1nc(C)c2c1CCN(C(C(=O)NC)c1ccccc1)C2CCc1ccccc1F,7.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x1767c0580>,True,7,434.55900000000014,4.369820000000003,1,3,50.160000000000004,0.6008163018873026
170,CHEMBL1080724,CCn1nc(C)c2c1CCN(C(C(=O)NC)c1ccccc1)C2CCc1cccc(F)c1,8.0,<rdkit.Chem.rdchem.Mol object at 0x1767c05f0>,True,7,434.55900000000014,4.369820000000003,1,3,50.160000000000004,0.6008163018873026
174,CHEMBL1080571,CCn1nc(C)c2c1CCN([C@@H](C(=O)NC)c1ccccc1)[C@H]2COc1ccc(C)cc1,7.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x1767c07b0>,True,7,432.56800000000015,3.9853400000000025,1,4,59.39,0.6134537309857309
189,CHEMBL1083657,C[C@@H]1CCN(c2ncc3c(n2)CCCC3)CCN1C(=O)c1ccccc1-n1nccn1,7.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x1767c0c10>,True,3,417.51700000000005,2.677100000000001,0,6,80.04,0.651888690435177
213,CHEMBL1911750,C[C@@H]1COc2ccc(OC(F)F)cc2[C@H](C)N1C(=O)c1ccc(Cl)cc1,7.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x1767c1150>,True,3,381.80600000000004,4.925700000000004,0,3,38.77,0.7566162197082097
214,CHEMBL1911936,O=S(=O)(c1ccccc1)N1CCOC12CCN(c1cnc3ccccc3n1)CC2,6.638272163982407,<rdkit.Chem.rdchem.Mol object at 0x1767c11c0>,True,3,410.4990000000001,2.647400000000001,0,6,75.63,0.660830215308432
216,CHEMBL2092734,O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)[C@H](F)C1,6.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x1767c1230>,True,3,419.478,2.6797000000000013,1,4,78.95000000000002,0.8297760398988603
217,CHEMBL2092888,O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)[C@@H](F)C1,6.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x1767c12a0>,True,3,419.478,2.6797000000000013,1,4,78.95000000000002,0.8297760398988603
219,CHEMBL1911940,COc1cccc(S(=O)(=O)N2CCOC23CCN(C(=O)Nc2ccccc2)CC3F)c1,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x1767c1310>,True,4,449.5040000000001,2.688300000000001,1,5,88.18,0.7755442816640563
220,CHEMBL1911941,COc1ccc(S(=O)(=O)N2CCOC23CCN(C(=O)Nc2ccccc2)CC3F)cc1,7.060480747381382,<rdkit.Chem.rdchem.Mol object at 0x1767c1380>,True,4,449.5040000000001,2.688300000000001,1,5,88.18,0.7755442816640563
735,CHEMBL2413368,Cc1cccc(-c2sc(C)nc2C(=O)N2CCC2CNC(=O)c2cccc3c2OCCN3C)c1,7.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x1767c3530>,True,5,476.60200000000026,3.9000400000000033,1,6,74.77,0.6046368748345047
745,CHEMBL3113771,COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc2sc(C)nc2c1,6.913640169325252,<rdkit.Chem.rdchem.Mol object at 0x1767c3680>,True,5,396.5120000000001,4.731620000000005,0,5,51.660000000000004,0.6255002199360781
751,CHEMBL3113765,COc1cccc(OC)c1[C@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.924453038607469,<rdkit.Chem.rdchem.Mol object at 0x1767c37d0>,True,6,409.40400000000005,4.712100000000004,0,4,48.0,0.6932980553678632
752,CHEMBL3113764,COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.892790030352131,<rdkit.Chem.rdchem.Mol object at 0x1767c3840>,True,6,409.40400000000005,4.712100000000004,0,4,48.0,0.6932980553678632
753,CHEMBL3113763,COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.876148359032914,<rdkit.Chem.rdchem.Mol object at 0x1767c38b0>,True,6,409.40400000000005,4.712100000000004,0,4,48.0,0.6932980553678632
760,CHEMBL3113756,COc1cccc(OC)c1C1COCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.0655015487564325,<rdkit.Chem.rdchem.Mol object at 0x1767c3990>,True,6,411.37600000000003,3.7025000000000023,0,5,57.230000000000004,0.7256511050467545
763,CHEMBL3113753,COc1ccnc(OC)c1C1CCCC(=O)N1Cc1csc(-c2ccccc2)n1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x1767c3ae0>,True,6,409.511,4.476100000000003,0,6,64.55000000000001,0.6007390428246018
766,CHEMBL3113750,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(-n2cccn2)c1,7.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x1767c3c30>,True,6,392.459,3.538300000000002,0,5,69.48,0.6417826290112842
767,CHEMBL3113749,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(-c2nccs2)c1,8.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x1767c3ca0>,True,6,409.511,4.476100000000004,0,6,64.55000000000001,0.6007390428246018
768,CHEMBL3113748,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(-c2ncccn2)c1,7.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x1767c3d10>,True,6,403.482,4.414600000000004,0,5,64.55000000000001,0.6098008774994889
769,CHEMBL3113747,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(-n2nccn2)c1,7.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x1767c3d80>,True,6,392.459,3.538300000000002,0,5,69.48,0.6417826290112842
775,CHEMBL3113741,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2sc(C)nc2c1,7.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x17679c0b0>,True,5,396.51200000000006,4.875720000000005,0,5,51.660000000000004,0.6169963282375049
777,CHEMBL3113739,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnc2ccccc2c1,6.663540266151471,<rdkit.Chem.rdchem.Mol object at 0x17679c120>,True,5,376.456,4.505800000000004,0,4,51.660000000000004,0.6575839801074872
787,CHEMBL3113546,CCCOc1ccc(CN2C(=O)CCCC2c2c(OC)cccc2OC)cc1,7.455931955649724,<rdkit.Chem.rdchem.Mol object at 0x17679c3c0>,True,8,383.48800000000006,4.746400000000005,0,4,48.0,0.6601796684486662
788,CHEMBL3113545,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(OC(F)(F)F)c1,7.026872146400302,<rdkit.Chem.rdchem.Mol object at 0x17679c430>,True,6,409.404,4.856200000000005,0,4,48.0,0.6840293875688904
794,CHEMBL3113540,COc1cc(OC)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,6.97469413473523,<rdkit.Chem.rdchem.Mol object at 0x17679c510>,True,7,439.43000000000006,4.864800000000004,0,5,57.230000000000004,0.6165434644237054
797,CHEMBL3113537,COc1cccc(F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.79317412396815,<rdkit.Chem.rdchem.Mol object at 0x17679c5f0>,True,5,397.368,4.9867000000000035,0,3,38.769999999999996,0.6677951520984646
802,CHEMBL3113774,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x17679c7b0>,True,6,409.404,4.856200000000005,0,4,48.0,0.6840293875688904
803,CHEMBL3113773,COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.801342913045577,<rdkit.Chem.rdchem.Mol object at 0x17679c820>,True,6,395.377,4.4661000000000035,0,4,48.0,0.724407367822649
804,CHEMBL3113772,COc1cccc(OC)c1C1SCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x17679c890>,True,6,413.41700000000003,4.376600000000003,0,5,48.0,0.7036864932403264
805,CHEMBL3235249,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1,7.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x17679c900>,True,5,409.46500000000015,3.429520000000003,0,5,73.14,0.6455684236765582
806,CHEMBL3235250,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](CCc3ccc(F)cn3)CC[C@H]2C)c1,6.838631997765025,<rdkit.Chem.rdchem.Mol object at 0x17679c970>,True,5,407.4930000000001,3.9833200000000035,0,4,63.910000000000004,0.6417047090058227
807,CHEMBL3235251,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](/C=C/c3ccc(F)cn3)CC[C@H]2C)c1,7.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x17679c9e0>,True,4,405.47700000000015,4.063920000000003,0,4,63.910000000000004,0.6565692954144894
809,CHEMBL3235253,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3ccc(F)cn3)CC[C@H]2C)c1,7.619788758288394,<rdkit.Chem.rdchem.Mol object at 0x17679ca50>,True,2,403.4610000000001,3.4022200000000025,0,4,63.910000000000004,0.6154725240213429
810,CHEMBL3235254,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3ccccn3)CC[C@H]2C)c1,7.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x17679cac0>,True,2,385.4710000000001,3.2631200000000016,0,4,63.910000000000004,0.6353876859290817
811,CHEMBL3235255,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cccnc3)CC[C@H]2C)c1,7.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x17679cb30>,True,2,385.4710000000001,3.2631200000000016,0,4,63.910000000000004,0.6353876859290817
814,CHEMBL3235258,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cnccc3O)CC[C@H]2C)c1,7.2839966563652006,<rdkit.Chem.rdchem.Mol object at 0x17679cba0>,True,2,401.47000000000014,2.968720000000001,1,5,84.14,0.6676556662660678
816,CHEMBL3235260,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cccc(CO)n3)CC[C@H]2C)c1,7.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x17679cc10>,True,3,415.4970000000002,2.755420000000001,1,5,84.14,0.6652537682254195
820,CHEMBL3235264,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3ccnc(CO)c3)CC[C@H]2C)c1,7.0,<rdkit.Chem.rdchem.Mol object at 0x17679cc80>,True,3,415.4970000000002,2.755420000000001,1,5,84.14,0.6652537682254195
821,CHEMBL3235265,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cccc(CO)c3)CC[C@H]2C)c1,8.200659450546418,<rdkit.Chem.rdchem.Mol object at 0x17679ccf0>,True,3,414.5090000000002,3.360420000000002,1,4,71.25,0.6674095206952331
853,CHEMBL3338862,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2N2CCCC2)nc1OC,7.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x17679d850>,True,7,433.5120000000003,3.394420000000002,1,7,89.47,0.6107917863617038
854,CHEMBL3338863,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2N2CCC2)nc1OC,7.080921907623926,<rdkit.Chem.rdchem.Mol object at 0x17679d8c0>,True,7,419.48500000000024,3.0043200000000017,1,7,89.47,0.6296028983462916
858,CHEMBL2107822,Cc1ccc(-c2ncccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1,7.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x17679da80>,True,5,420.48800000000017,4.305820000000003,0,5,68.21000000000001,0.6154304804154628
859,CHEMBL3409851,COc1cccc(OC)c1[C@@H]1C[C@@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.924453038607469,<rdkit.Chem.rdchem.Mol object at 0x17679daf0>,True,6,409.40400000000005,4.712100000000004,0,4,48.0,0.6932980553678632
863,CHEMBL3409853,COc1cccc(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.3872161432802645,<rdkit.Chem.rdchem.Mol object at 0x17679db60>,True,6,429.8220000000001,4.683400000000003,0,4,48.0,0.6253262822650465
865,CHEMBL3409855,COc1cccc(OC)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x17679dbd0>,True,6,413.367,4.414100000000004,0,4,48.0,0.6584664996854784
866,CHEMBL3409856,COc1cccc(OC)c1[C@@H]1C[C@@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.616184634019569,<rdkit.Chem.rdchem.Mol object at 0x17679dc40>,True,6,413.367,4.414100000000004,0,4,48.0,0.6584664996854784
867,CHEMBL3409857,COc1cccc(OC)c1C1CC(F)(F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.876148359032914,<rdkit.Chem.rdchem.Mol object at 0x17679dcb0>,True,6,431.3570000000001,4.711300000000003,0,4,48.0,0.6219336801254248
869,CHEMBL3409859,COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,7.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x17679dd20>,True,6,411.37600000000003,3.4369000000000023,1,5,68.23,0.7889452505986415
870,CHEMBL3409860,COc1cccc(OC)c1[C@@H]1C[C@H](OC)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,6.774690718274137,<rdkit.Chem.rdchem.Mol object at 0x17679dd90>,True,7,425.4030000000001,4.091000000000003,0,5,57.230000000000004,0.6689539466242059
889,CHEMBL3426155,C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccccc1CC(F)(F)F,7.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x17679e1f0>,True,4,403.40400000000005,4.130180000000004,0,4,66.22,0.7700056046128405
896,CHEMBL3426147,C[C@@H]1CC[C@@H](Oc2cc(N(C)C)ccn2)CN1C(=O)c1ccccc1-n1nccn1,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x17679e500>,True,5,406.49000000000007,2.8004000000000016,0,6,76.38,0.6485506204882407
898,CHEMBL3426145,CSc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,8.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x17679e5e0>,True,5,409.51500000000004,3.4563000000000015,0,6,73.14,0.6011278771191744
899,CHEMBL3426144,COc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,7.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x17679e650>,True,5,393.44700000000006,2.743000000000001,0,6,82.37,0.6629174969362809
901,CHEMBL3426142,C[C@@H]1CC[C@@H](Oc2cc(Br)ccn2)CN1C(=O)c1ccccc1-n1nccn1,8.0,<rdkit.Chem.rdchem.Mol object at 0x17679e730>,True,4,442.3170000000001,3.496900000000001,0,5,73.14,0.618715716161719
902,CHEMBL3426141,C[C@@H]1CC[C@@H](Oc2cc(Cl)ccn2)CN1C(=O)c1ccccc1-n1nccn1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x17679e7a0>,True,4,397.86600000000004,3.387800000000002,0,5,73.14,0.6742817885472192
903,CHEMBL3426140,C[C@@H]1CC[C@@H](Oc2cc(F)ccn2)CN1C(=O)c1ccccc1-n1nccn1,7.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x17679e810>,True,4,381.411,2.873500000000001,0,5,73.14,0.6948391165257151
907,CHEMBL3426136,C#Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,8.0,<rdkit.Chem.rdchem.Mol object at 0x17679e9d0>,True,4,387.44300000000004,2.715700000000001,0,5,73.14,0.6438322345982667
908,CHEMBL3426135,C[C@@H]1CC[C@@H](Oc2cc(C(F)(F)F)ccn2)CN1C(=O)c1ccccc1-n1nccn1,7.7447274948966935,<rdkit.Chem.rdchem.Mol object at 0x17679ea40>,True,4,431.41800000000006,3.7532000000000014,0,5,73.14,0.6291762091258662
909,CHEMBL3426134,CCc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x17679eab0>,True,5,391.4750000000001,3.296800000000002,0,5,73.14,0.6672301218215316
912,CHEMBL3426131,Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,7.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x17679eb20>,True,4,377.4480000000001,3.0428200000000016,0,5,73.14,0.6986959573495439
913,CHEMBL3426130,Cc1ccc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)nc1,8.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x17679eb90>,True,4,377.4480000000001,3.0428200000000016,0,5,73.14,0.6986959573495439
914,CHEMBL3426129,Cc1cccc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)n1,7.481486060122112,<rdkit.Chem.rdchem.Mol object at 0x17679ec00>,True,4,377.4480000000001,3.0428200000000007,0,5,73.14,0.6986959573495439
915,CHEMBL3426154,C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccccc1OC(F)F,7.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x17679ec70>,True,5,387.386,3.626780000000003,0,5,75.45,0.7832135894024411
916,CHEMBL3597962,C[C@@H]1CC[C@@H](Oc2cc(C(F)(F)F)ccn2)CN1C(=O)c1ccccc1-n1ncnn1,8.0,<rdkit.Chem.rdchem.Mol object at 0x17679ece0>,True,4,432.40600000000006,3.148200000000001,0,6,86.03,0.6297278501233388
919,CHEMBL3597959,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)nc1C(C)(C)O,7.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x17679ee30>,True,4,425.55800000000016,3.667920000000002,1,6,84.14,0.6894857375245435
920,CHEMBL3597958,C[C@@H]1CC[C@@H](c2csc(C(C)(C)O)n2)CN1C(=O)c1cscc1-n1nccn1,7.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x17679eea0>,True,4,417.56000000000006,3.421000000000002,1,7,84.14,0.7031171885740999
926,CHEMBL3597952,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cc(C)cc(C)c2)cc1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x17679f0d0>,True,5,388.4890000000001,3.1038400000000017,1,4,75.71000000000001,0.8539609074782488
930,CHEMBL3622325,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc(Cl)c(C)n3)CC[C@H]2C)c1,7.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x17679f140>,True,3,425.9240000000002,3.0685400000000014,0,6,80.04,0.6411608710103253
932,CHEMBL3622327,COc1nc(N2CC[C@@H](C)N(C(=O)c3cc(C)ccc3-n3nccn3)CC2)ncc1C,7.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x17679f220>,True,4,421.50500000000017,2.4237400000000004,0,7,89.27,0.6390656028925531
937,CHEMBL3622332,Cc1nc(N2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)CC2)ncc1C(F)(F)F,7.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x17679f450>,True,3,445.4490000000001,3.1255200000000016,0,6,80.04,0.616445649806153
945,CHEMBL3667583,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2ccc(F)c(F)c2)cc1,6.866461091629782,<rdkit.Chem.rdchem.Mol object at 0x17679f5a0>,True,5,396.415,2.765200000000001,1,4,75.71000000000001,0.8433672598860685
946,CHEMBL3667566,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cccc(Cl)c2)cc1,7.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x17679f610>,True,5,394.88,3.1404000000000014,1,4,75.71000000000001,0.8447791303107018
947,CHEMBL3667591,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cc(C)cc(C)c2)cc1OC,6.995678626217358,<rdkit.Chem.rdchem.Mol object at 0x17679f680>,True,6,418.51500000000016,3.112440000000001,1,5,84.94000000000001,0.7791743097257631
948,CHEMBL3667578,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2ccc(F)c(Cl)c2)cc1,7.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x17679f6f0>,True,5,412.87,3.2795000000000014,1,4,75.71000000000001,0.8172486930119919
949,CHEMBL3667553,CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc3c(c2)OCCN3C)c1,7.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x17679f760>,True,5,447.5820000000002,3.028900000000002,1,6,78.95,0.7101477587045977
950,CHEMBL3667605,Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)cc2Cl)c1,6.97469413473523,<rdkit.Chem.rdchem.Mol object at 0x17679f7d0>,True,4,471.8040000000001,4.511140000000004,1,3,66.48,0.7132264939217365
951,CHEMBL3667590,Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc3ccccc3c2)c1,7.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x17679f840>,True,4,408.5230000000001,4.248440000000003,1,3,66.48,0.7018430493617626
952,CHEMBL3667577,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,7.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x17679f8b0>,True,5,496.42900000000003,4.524600000000003,1,4,75.71000000000001,0.6179389632679264
953,CHEMBL3667559,CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cccc(Br)c2)c1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x17679f920>,True,5,455.39900000000006,3.962800000000003,1,4,66.48,0.6935944118112847
